CHARTER,CITYST,STATE,STATEGDP,COST,FAILDATE,NAME,ASSET,DEPOSIT,state_latitude,state_longitude
NM,"SHABBONA, IL",Illinois,726399,10243,6/8/2012,FARMERS' AND TRADERS' STATE BANK,43077,42302,40.349457,-88.986137
SM,"WHITEVILLE, NC",North Carolina,445095,23756,6/8/2012,WACCAMAW BANK,533114,472704,35.630066,-79.806419
SB,"CHARLESTON, SC",South Carolina,177618,17630,6/8/2012,CAROLINA FEDERAL SAVINGS BANK,54373,53082,33.856892,-80.945007
NM,"THERMOPOLIS, WY",Wyoming,41546,32543,7/10/2009,BANK OF WYOMING,70188,66598,42.755966,-107.30249
SM,"DENVER, CO",Colorado,312410,1210,7/10/2015,PREMIER BANK,26760,25480,39.059811,-105.311104
SL,"PASADENA, CA",California,2061639,12003054,7/11/2008,INDYMAC BANK F.S.B,30698512,18941727,36.116203,-119.681564
NM,"GLASGOW, MO",Missouri,271535,1396,7/13/2012,GLASGOW SAVINGS BANK,22341,21809,38.456085,-92.288368
NM,"ALMELUND, MN",Minnesota,247803,1363,7/14/2000,TOWN & COUNTRY BANK OF ALMELUND,25942,26667,45.694454,-93.900192
NM,"STOCKBRIDGE, GA",Georgia,441627,70772,7/15/2011,HIGH TRUST BANK,180340,177221,33.040619,-83.643074
NM,"PORT SAINT LUCIE, FL",Florida,772021,13110,7/15/2011,FIRST PEOPLES BANK,225035,207621,27.994402,-81.760254
NM,"PRESCOTT, AZ",Arizona,266102,14868,7/15/2011,SUMMIT BANK,73066,67471,33.729759,-111.431221
NM,"ATLANTA, GA",Georgia,441627,40555,7/15/2011,ONE GEORGIA BANK,177715,158123,33.040619,-83.643074
SM,"MIAMI, FL",Florida,775040,64179,7/16/2010,METRO BANK OF DADE COUNTY,399441,375522,27.994402,-81.760254
SB,"HASTINGS, MI",Michigan,404217,12789,7/16/2010,"MAINSTREET SAVINGS BANK, FSB",96584,63291,43.326618,-84.536095
SB,"CLEWISTON, FL",Florida,775040,25533,7/16/2010,OLDE CYPRESS COMMUNITY BANK,161355,157997,27.994402,-81.760254
SB,"AVENTURA, FL",Florida,775040,28658,7/16/2010,TURNBERRY BANK,240251,179169,27.994402,-81.760254
SB,"BLUFFTON, SC",South Carolina,172131,107349,7/16/2010,WOODLANDS BANK,382803,364808,33.856892,-80.945007
N,"SPARTANBURG, SC",South Carolina,172131,68274,7/16/2010,FIRST NATIONAL BANK OF THE SOUTH,619374,550891,33.856892,-80.945007
N,"RANCHO CUCAMONGA, CA",California,1995440,278591,7/17/2009,"VINEYARD BANK, NATIONAL ASSOCIATION",1638378,1526186,36.116203,-119.681564
SM,"SIOUX FALLS, SD",South Dakota,39987,110201,7/17/2009,BANKFIRST,210844,232203,44.299782,-99.438828
NM,"TEMECULA, CA",California,1995440,227400,7/17/2009,TEMECULA VALLEY BANK,1396622,1276287,36.116203,-119.681564
NM,"WINDER, GA",Georgia,428741,37998,7/17/2009,FIRST PIEDMONT BANK,114113,108499,33.040619,-83.643074
NM,"CONYERS, GA",Georgia,470010,38334,7/18/2014,EASTSIDE COMMERCIAL BANK,173946,166875,33.040619,-83.643074
N,"DANVILLE, IL",Illinois,688161,24202,7/2/2009,THE FIRST NATIONAL BANK OF DANVILLE,148218,140185,40.349457,-88.986137
NM,"ELIZABETH, IL",Illinois,688161,9832,7/2/2009,THE ELIZABETH STATE BANK,55027,48131,40.349457,-88.986137
NM,"WINCHESTER, IL",Illinois,688161,8030,7/2/2009,THE FIRST STATE BANK OF WINCHESTER,30073,30806,40.349457,-88.986137
NM,"CLINTON, IL",Illinois,688161,14315,7/2/2009,THE JOHN WARNER BANK,69609,65179,40.349457,-88.986137
NM,"OREGON, IL",Illinois,688161,18558,7/2/2009,ROCK RIVER BANK,74808,74896,40.349457,-88.986137
NM,"WORTH, IL",Illinois,688161,129512,7/2/2009,FOUNDERS BANK,889172,832160,40.349457,-88.986137
NM,"DALLAS, TX",Texas,1277295,52700,7/2/2009,MILLENNIUM STATE BANK OF TEXAS,118601,115478,31.054487,-97.563461
NM,"LEAWOOD, KS",Kansas,141818,363,7/20/2012,HEARTLAND BANK,96002,89723,38.5266,-96.726486
SB,"CHICAGO, IL",Illinois,726399,86252,7/20/2012,SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,190891,171627,40.349457,-88.986137
NM,"WOODSTOCK, GA",Georgia,447765,36215,7/20/2012,FIRST CHEROKEE STATE BANK,209021,182114,33.040619,-83.643074
NM,"NAPLES, FL",Florida,778545,16848,7/20/2012,THE ROYAL PALM BANK OF FLORIDA,78771,78876,27.994402,-81.760254
NM,"BUFORD, GA",Georgia,447765,25335,7/20/2012,GEORGIA TRUST BANK,116890,114748,33.040619,-83.643074
NM,"GREELEY, CO",Colorado,271701,135593,7/22/2011,BANK OF CHOICE,954106,818670,39.059811,-105.311104
SM,"SARASOTA, FL",Florida,772021,37389,7/22/2011,LANDMARK BANK OF FLORIDA,266482,244362,27.994402,-81.760254
NM,"APOLLO BEACH, FL",Florida,772021,11403,7/22/2011,SOUTHSHORE COMMUNITY BANK,41252,41434,27.994402,-81.760254
SM,"SYLVAN GROVE, KS",Kansas,135723,6651,7/23/2010,THUNDER BANK,28248,27048,38.5266,-96.726486
N,"KINGSTREE, SC",South Carolina,172131,2425,7/23/2010,WILLIAMSBURG FIRST NATIONAL BANK,130411,126993,33.856892,-80.945007
SM,"CAVE JUNCTION, OR",Oregon,169234,28068,7/23/2010,HOME VALLEY BANK,250488,227935,44.572021,-122.070938
NM,"JASPER, GA",Georgia,433727,303803,7/23/2010,CRESCENT BANK AND TRUST COMPANY,970235,932809,33.040619,-83.643074
SM,"LANTANA, FL",Florida,775040,41792,7/23/2010,STERLING BANK,354966,329541,27.994402,-81.760254
NM,"NEW PRAGUE, MN",Minnesota,287140,18495,7/23/2010,COMMUNITY SECURITY BANK,100649,95100,45.694454,-93.900192
NM,"LAS VEGAS, NV",Nevada,129828,86297,7/23/2010,SOUTHWESTUSA BANK,203690,183985,38.313515,-117.055374
NM,"GRAY, GA",Georgia,428741,98201,7/24/2009,SECURITY BANK OF JONES COUNTY,432712,375238,33.040619,-83.643074
NM,"PERRY, GA",Georgia,428741,50980,7/24/2009,SECURITY BANK OF HOUSTON COUNTY,371624,313155,33.040619,-83.643074
NM,"MACON, GA",Georgia,428741,414269,7/24/2009,SECURITY BANK OF BIBB COUNTY,943744,831437,33.040619,-83.643074
NM,"WOODSTOCK, GA",Georgia,428741,102031,7/24/2009,SECURITY BANK OF NORTH METRO,184184,182413,33.040619,-83.643074
NM,"SUWANNEE, GA",Georgia,428741,193409,7/24/2009,SECURITY BANK OF GWINNETT COUNTY,259182,256578,33.040619,-83.643074
NM,"ALPHARETTA, GA",Georgia,428741,49000,7/24/2009,SECURITY BANK OF NORTH FULTON,190564,179523,33.040619,-83.643074
NM,"WILLIAMSVILLE, NY",New York,1230672,7875,7/24/2009,WATERFORD VILLAGE BANK,55707,56145,42.165726,-74.948051
N,"RENO, NV",Nevada,139954,711000,7/25/2008,FIRST NATIONAL BANK OF NEVADA,3411145,3038053,38.313515,-117.055374
N,"NEWPORT BEACH, CA",California,2061639,92139,7/25/2008,FIRST HERITAGE BANK N.A.,255376,234812,36.116203,-119.681564
SB,"CHICAGO, IL",Illinois,741194,18412,7/25/2014,"GREENCHOICE BANK, FSB",70286,68722,40.349457,-88.986137
SB,"HINSDALE, IL",Illinois,642293,286673,7/27/2001,"SUPERIOR BANK, FSB",1765455,1609501,40.349457,-88.986137
NM,"JASPER, GA",Georgia,447765,49244,7/27/2012,JASPER BANKING COMPANY,206672,204238,33.040619,-83.643074
SM,"ELKHART, KS",Kansas,,54167,7/28/2023,HEARTLAND TRI-STATE BANK,139446,130110,38.5266,-96.726486
N,"EVANSVILLE, IN",Indiana,299065,30575,7/29/2011,INTEGRA BANK NATIONAL ASSOCIATION,1994430,1693592,39.849426,-86.258278
N,"COLUMBIA, SC",South Carolina,176083,49181,7/29/2011,"BANKMERIDIAN, N.A.",232648,209737,33.856892,-80.945007
SM,"RICHMOND, VA",Virginia,444288,19851,7/29/2011,VIRGINIA BUSINESS BANK,83493,72955,37.769337,-78.169968
NM,"PANAMA CITY BEACH, FL",Florida,775040,116866,7/30/2010,COASTAL COMMUNITY BANK,377469,370016,27.994402,-81.760254
NM,"LONGVIEW, WA",Washington,380990,31478,7/30/2010,THE COWLITZ BANK,489019,474742,47.400902,-121.490494
NM,"EUGENE, OR",Oregon,169234,51253,7/30/2010,LIBERTYBANK,714574,692670,44.572021,-122.070938
NM,"ACWORTH, GA",Georgia,433727,33627,7/30/2010,NORTHWEST BANK & TRUST,160763,155531,33.040619,-83.643074
SB,"PORT SAINT JOE, FL",Florida,775040,12479,7/30/2010,BAYSIDE SAVINGS BANK,64344,52720,27.994402,-81.760254
NM,"ALTUS, OK",Oklahoma,160092,25969,7/31/2009,FIRST STATE BANK OF ALTUS,90867,98161,35.565342,-96.928917
NM,"HARVEY, IL",Illinois,688161,793841,7/31/2009,MUTUAL BANK,1595657,1546525,40.349457,-88.986137
SB,"WEST CHESTER, OH",Ohio,511077,61523,7/31/2009,PEOPLES COMMUNITY BANK,606153,538787,40.388783,-82.764915
NM,"ELIZABTH, NJ",New Jersey,506851,20048,7/31/2009,FIRST BANKAMERICANO,163372,155463,40.298904,-74.521011
NM,"JUPITER, FL",Florida,769061,36473,7/31/2009,INTEGRITY BANK,105298,98511,27.994402,-81.760254
NM,"AILEY, GA",Georgia,447765,65798,7/6/2012,MONTGOMERY BANK & TRUST,153208,164181,33.040619,-83.643074
SM,"CHICAGO, IL",Illinois,711283,192899,7/8/2011,FIRST CHICAGO BANK & TRUST,896864,830530,40.349457,-88.986137
NM,"CASTLE ROCK, CO",Colorado,271701,254944,7/8/2011,COLORADO CAPITAL BANK,665806,635202,39.059811,-105.311104
NM,"WINDSOR, CO",Colorado,271701,23311,7/8/2011,SIGNATURE  BANK,62518,60349,39.059811,-105.311104
N,"BLACKWELL, OK",Oklahoma,160564,65822,7/9/2010,HOME NATIONAL BANK,585445,514038,35.565342,-96.928917
SB,"BALTIMORE, MD",Maryland,325370,3694,7/9/2010,IDEAL FEDERAL SAVINGS BANK,6177,5803,39.063946,-76.802101
N,"BALTIMORE, MD",Maryland,325370,21144,7/9/2010,BAY NATIONAL BANK,217743,212612,39.063946,-76.802101
NM,"PORT CHESTER, NY",New York,1277467,63537,7/9/2010,USA BANK,190678,188644,42.165726,-74.948051
NM,"BRADENTON, FL",Florida,816070,95555,8/1/2008,FIRST PRIORITY BANK,258610,226698,27.994402,-81.760254
N,"OLATHE, KS",Kansas,139579,103328,8/12/2011,THE FIRST NATIONAL BANK OF OLATHE,538091,524290,38.5266,-96.726486
NM,"PALOS HEIGHTS, IL",Illinois,698180,66962,8/13/2010,PALOS BANK AND TRUST COMPANY,493391,467784,40.349457,-88.986137
NM,"MONTGOMERY, AL",Alabama,180707,2380732,8/14/2009,COLONIAL BANK,25455112,20072099,32.806671,-86.79113
SL,"PITTSBURGH, PA",Pennsylvania,610148,8352,8/14/2009,DWELLING HOUSE SAVINGS AND LOAN,12947,12984,40.590752,-77.209755
SM,"LAS VEGAS, NV",Nevada,128241,557962,8/14/2009,COMMUNITY BANK OF NEVADA,1397798,1372744,38.313515,-117.055374
N,"GILBERT, AZ",Arizona,257499,51989,8/14/2009,"UNION BANK, NATIONAL ASSOCIATION",119529,110362,33.729759,-111.431221
NM,"PHOENIX, AZ",Arizona,257499,26760,8/14/2009,COMMUNITY BANK OF ARIZONA,158517,143834,33.729759,-111.431221
SI,"HUNTINGDON VALLEY, PA",Pennsylvania,637114,15828,8/18/2011,PUBLIC SAVINGS BANK,46818,45770,40.590752,-77.209755
SB,"PALM BEACH, FL",Florida,772021,187814,8/19/2011,LYDIAN PRIVATE BANK,1700117,1253835,27.994402,-81.760254
NM,"GENEVA, IL",Illinois,711283,34064,8/19/2011,FIRST CHOICE BANK,141016,137215,40.349457,-88.986137
N,"STATESBORO, GA",Georgia,441627,22171,8/19/2011,FIRST SOUTHERN NATIONAL BANK,164599,159673,33.040619,-83.643074
NM,"WOODBURY, GA",Georgia,506816,3290,8/19/2016,THE WOODBURY BANKING COMPANY,21426,21122,33.040619,-83.643074
NM,"FORT MYERS, FL",Florida,794842,24921,8/2/2013,FIRST COMMUNITY BANK OF SOUTHWEST FLORIDA,247315,243618,27.994402,-81.760254
NM,"CHICAGO, IL",Illinois,698180,525962,8/20/2010,SHOREBANK,2166431,1547403,40.349457,-88.986137
N,"BARTOW, FL",Florida,775040,9170,8/20/2010,COMMUNITY NATIONAL BANK AT BARTOW,67918,63708,27.994402,-81.760254
SM,"STOCKTON, CA",California,2036015,34038,8/20/2010,PACIFIC STATE BANK,312077,278832,36.116203,-119.681564
NM,"SONOMA, CA",California,2036015,10285,8/20/2010,SONOMA VALLEY BANK,337113,255501,36.116203,-119.681564
N,"OCALA, FL",Florida,775040,11982,8/20/2010,INDEPENDENT NATIONAL BANK,156218,141877,27.994402,-81.760254
SL,"MARTINSVILLE, VA",Virginia,441242,4746,8/20/2010,IMPERIAL SAVINGS AND LOAN ASSOCIATION,9448,10090,37.769337,-78.169968
SB,"SOLVANG, CA",California,2036015,3434,8/20/2010,LOS PADRES BANK,866459,770899,36.116203,-119.681564
NM,"CHICO, CA",California,2036015,1663,8/20/2010,BUTTE COMMUNITY BANK,498751,471256,36.116203,-119.681564
SM,"BIRMINGHAM, AL",Alabama,180707,126332,8/21/2009,CAPITALSOUTH BANK,586586,539422,32.806671,-86.79113
SB,"AUSTIN, TX",Texas,1277295,0,8/21/2009,GUARANTY BANK,13464352,11984112,31.054487,-97.563461
SB,"ATLANTA, GA",Georgia,428741,49948,8/21/2009,EBANK,144688,131510,33.040619,-83.643074
NM,"NEWNAN, GA",Georgia,428741,66684,8/21/2009,FIRST COWETA,163755,154903,33.040619,-83.643074
NM,"TOPEKA, KS",Kansas,139537,334277,8/22/2008,THE COLUMBIAN BANK AND TRUST COMPANY,735071,620354,38.5266,-96.726486
NM,"PARSONS, TN",Tennessee,289795,129801,8/23/2013,COMMUNITY SOUTH BANK,386908,377672,35.747845,-86.692345
NM,"PHOENIX, AZ",Arizona,273482,15391,8/23/2013,SUNRISE BANK OF ARIZONA,202179,196924,33.729759,-111.431221
NM,"FOREST LAKE, MN",Minnesota,277494,89930,8/28/2009,MAINSTREET BANK,458533,432818,45.694454,-93.900192
NM,"VENTURA, CA",California,1995440,234069,8/28/2009,AFFINITY BANK,1211431,905593,36.116203,-119.681564
SB,"BALTIMORE, MD",Maryland,311342,46897,8/28/2009,BRADFORD BANK,451888,382159,39.063946,-76.802101
NM,"ALPHARETTA, GA",Georgia,445765,465942,8/29/2008,INTEGRITY BANK,1107514,962456,33.040619,-83.643074
SI,"WAUKEGAN, IL",Illinois,726399,23518,8/3/2012,WAUKEGAN SAVINGS BANK,83679,73001,40.349457,-88.986137
SM,"COLFAX, WA",Washington,387745,100914,8/5/2011,BANK OF WHITMAN,548570,515732,47.400902,-121.490494
NM,"SHOREWOOD, IL",Illinois,711283,29378,8/5/2011,BANK OF SHOREWOOD,110723,104021,40.349457,-88.986137
NM,"CHICAGO, IL",Illinois,698180,68113,8/6/2010,RAVENSWOOD BANK,264628,269448,40.349457,-88.986137
SM,"PRINEVILLE, OR",Oregon,165527,73567,8/7/2009,COMMUNITY FIRST BANK,199508,180691,44.572021,-122.070938
N,"VENICE, FL",Florida,769061,25369,8/7/2009,COMMUNITY NATIONAL BANK OF SARASOTA COUNTY,92528,92352,27.994402,-81.760254
NM,"SARASOTA, FL",Florida,769061,119466,8/7/2009,FIRST STATE BANK,447667,394701,27.994402,-81.760254
NM,"WAUSAU, WI",Wisconsin,278015,13428,8/9/2013,BANK OF WAUSAU,43564,40663,44.268543,-89.616508
SM,"BRADENTON, FL",Florida,775040,61295,9/10/2010,HORIZON BANK,187819,164594,27.994402,-81.760254
N,"CHICAGO, IL",Illinois,688161,0,9/11/2009,"CORUS BANK, N.A.",7003321,7060693,40.349457,-88.986137
NM,"LACEY, WA",Washington,370137,201128,9/11/2009,VENTURE BANK,968385,917729,47.400902,-121.490494
NM,"WOODBURY, MN",Minnesota,277494,24597,9/11/2009,BRICKWELL COMMUNITY BANK,72576,64981,45.694454,-93.900192
N,"EDINBURG, TX",Texas,1484700,616177,9/13/2013,FIRST NATIONAL BANK,3085764,2338335,31.054487,-97.563461
NM,"BRIDGEPORT, CT",Connecticut,236051,9211,9/13/2013,THE COMMUNITY'S BANK,26368,25715,41.597782,-72.755371
SM,"ST. LOUIS, MO",Missouri,271535,39469,9/14/2012,TRUMAN BANK,282338,245716,38.456085,-92.288368
NM,"WINDER, GA",Georgia,433727,101852,9/17/2010,THE PEOPLES BANK,447185,398181,33.040619,-83.643074
SI,"MILFORD, OH",Ohio,523979,17928,9/17/2010,BRAMBLE SAVINGS BANK,47523,41551,40.388783,-82.764915
SL,"WEST ALLIS, WI",Wisconsin,266831,88384,9/17/2010,MARITIME SAVINGS BANK,350488,248134,44.268543,-89.616508
NM,"CHERRY HILL, NJ",New Jersey,513918,18856,9/17/2010,ISN BANK,81564,79652,40.298904,-74.521011
NM,"DOUGLASVILLE, GA",Georgia,433727,101039,9/17/2010,FIRST COMMERCE COMMUNITY BANK,248151,242831,33.040619,-83.643074
NM,"ELLIJAY, GA",Georgia,433727,79709,9/17/2010,THE BANK OF ELLIJAY,168820,160718,33.040619,-83.643074
SM,"COLUMBUS, IN",Indiana,279521,755962,9/18/2009,IRWIN UNION BANK AND TRUST COMPANY,2839747,2254025,39.849426,-86.258278
SB,"LOUISVILLE, KY",Kentucky,166704,114006,9/18/2009,"IRWIN UNION BANK, FSB",518151,462611,37.66814,-84.670067
SB,"NORTHFORK, WV",West Virginia,68484,38290,9/19/2008,"AMERIBANK, INC.",103965,100901,38.491226,-80.95457
NM,"WOODSTOCK, GA",Georgia,441627,33845,9/2/2011,CREEKSIDE BANK,102338,96583,33.040619,-83.643074
NM,"CUMMING, GA",Georgia,441627,54248,9/2/2011,PATRIOT BANK OF GEORGIA,150751,140612,33.040619,-83.643074
SM,"NORFOLK, VA",Virginia,444288,238719,9/23/2011,BANK OF THE COMMONWEALTH,985096,901845,37.769337,-78.169968
NM,"NEVADA CITY, CA",California,2063828,40895,9/23/2011,CITIZENS BANK OF NORTHERN CALIFORNIA,288765,253079,36.116203,-119.681564
SM,"MULBERRY, AR",Arkansas,112798,6213,9/23/2016,ALLIED BANK,66336,64713,34.969704,-92.373123
NM,"ARLINGTON, WA",Washington,380990,70800,9/24/2010,NORTH COUNTY BANK,288776,276081,47.400902,-121.490494
NM,"PONTE VEDRA BEACH, FL",Florida,775040,34827,9/24/2010,HAVEN TRUST BANK FLORIDA,148575,133561,27.994402,-81.760254
SB,"HENDERSON, NV",Nevada,139954,0,9/25/2008,WASHINGTON MUTUAL BANK,307021614,188260793,38.313515,-117.055374
NM,"ATLANTA, GA",Georgia,428741,960820,9/25/2009,GEORGIAN BANK,2230230,1960123,33.040619,-83.643074
SB,"ALPHARETTA, GA",Georgia,455904,119608,9/28/2007,NETBANK,2473806,2290046,33.040619,-83.643074
NM,"CRETE, IL",Illinois,726399,33841,9/28/2012,FIRST UNITED BANK,328422,316877,40.349457,-88.986137
NM,"FALKNER, MS",Mississippi,88078,14592,9/29/2000,BANK OF FALKNER,85485,77140,32.741646,-89.678696
SM,"ATLANTA, GA",Georgia,399413,1326,9/30/2002,AMTRADE INTERNATIONAL BANK OF GEORGIA,92144,73205,33.040619,-83.643074
NM,"PLANO, TX",Texas,1353600,58022,9/30/2011,FIRST INTERNATIONAL BANK,239916,208775,31.054487,-97.563461
NM,"OAK FOREST, IL",Illinois,688161,56911,9/4/2009,INBANK,209848,209211,40.349457,-88.986137
NM,"KANSAS CITY, MO",Missouri,266835,7548,9/4/2009,FIRST BANK OF KANSAS CITY,15723,14479,38.456085,-92.288368
SB,"SIOUX CITY, IA",Iowa,146183,101576,9/4/2009,VANTUS BANK,503643,394369,42.011539,-93.210526
NM,"FLAGSTAFF, AZ",Arizona,257499,49833,9/4/2009,FIRST STATE BANK,107235,95734,33.729759,-111.431221
SB,"ROLLING MEADOWS, IL",Illinois,688161,0,9/4/2009,PLATINUM COMMUNITY BANK,147961,110186,40.349457,-88.986137
NM,"HENDERSON, NV",Nevada,139954,722104,9/5/2008,SILVER STATE BANK,1957120,1733091,38.313515,-117.055374
N,"GRAVETTE, AR",Arkansas,89789,4206,9/7/2001,SINCLAIR NATIONAL BANK,29792,26054,34.969704,-92.373123
NM,"BLOOMINGTON, MN",Minnesota,298328,65213,9/7/2012,FIRST COMMERCIAL BANK,215867,206809,45.694454,-93.900192
N,"MILTON, FL",Florida,772021,75749,9/9/2011,THE FIRST NATIONAL BANK OF FLORIDA,296841,280095,27.994402,-81.760254
