CHARTER,CITYST,STATE,STATEGDP,COST,FAILDATE,NAME,ASSET,DEPOSIT,state_latitude,state_longitude
N,"ATLANTA, GA",Georgia,428741,288566,3/27/2009,OMNI NATIONAL BANK,979585,813205,33.040619,-83.643074
SM,"SHELBY TOWNSHIP, MI",Michigan,436802,4440,3/28/2002,NEW CENTURY BANK,21091,18902,43.326618,-84.536095
NM,"COTTONWOOD HEIGHTS, UT",Utah,154758,9883,3/3/2017,PROFICIO BANK,68208,65042,40.150032,-111.862434
NM,"DEARBORN, MI",Michigan,422691,97229,3/30/2012,FIDELITY BANK,818237,747640,43.326618,-84.536095
SM,"NORMAL, IL",Illinois,698180,18737,3/5/2010,BANK OF ILLINOIS,211711,198487,40.349457,-88.986137
SM,"BOCA RATON, FL",Florida,775040,122301,3/5/2010,SUN AMERICAN BANK,535724,443481,27.994402,-81.760254
NM,"OGDEN, UT",Utah,123902,70617,3/5/2010,CENTENNIAL BANK,212839,205076,40.150032,-111.862434
SB,"GERMANTOWN, MD",Maryland,325370,11322,3/5/2010,WATERFIELD BANK,155566,156188,39.063946,-76.802101
NM,"COMMERCE, GA",Georgia,428741,43267,3/6/2009,FREEDOM BANK OF GEORGIA,172454,159048,33.040619,-83.643074
NM,"HUME, MO",Missouri,273436,3755,3/7/2008,HUME BANK,18682,13566,38.456085,-92.288368
SM,"SANTA CLARA, CA",California,,21818659,3/7/2023,SILICON VALLEY BANK,209026000,175378000,36.116203,-119.681564
NM,"LAGRANGE, GA",Georgia,454909,73446,3/8/2013,FRONTIER BANK,258840,224108,33.040619,-83.643074
NM,"CHICAGO, IL",Illinois,726399,13358,3/9/2012,NEW CITY BANK,71202,72399,40.349457,-88.986137
NM,"WILMINGTON, NC",North Carolina,431955,118565,4/10/2009,CAPE FEAR BANK,492418,402820,35.630066,-79.806419
NM,"GREELEY, CO",Colorado,264966,913432,4/10/2009,NEW FRONTIER BANK,1774588,1496347,39.059811,-105.311104
NM,"CARTHAGE, MS",Mississippi,98516,37841,4/15/2011,HERITAGE BANKING GROUP,228328,205035,32.741646,-89.678696
SB,"BIRMINGHAM, AL",Alabama,187606,285638,4/15/2011,SUPERIOR BANK,2977290,2736201,32.806671,-86.79113
NM,"BIRMINGHAM, AL",Alabama,187606,182002,4/15/2011,NEXITY BANK,757574,611681,32.806671,-86.79113
NM,"CARTERSVILLE, GA",Georgia,441627,83037,4/15/2011,BARTOW COUNTY BANK,314019,290005,33.040619,-83.643074
N,"ROSEMOUNT, MN",Minnesota,293783,5398,4/15/2011,ROSEMOUNT NATIONAL BANK,21454,20980,45.694454,-93.900192
NM,"EAST ELLIJAY, GA",Georgia,441627,34708,4/15/2011,NEW HORIZONS BANK,103055,99022,33.040619,-83.643074
