CHARTER,CITYST,COST,FAILDATE,NAME,ASSET,DEPOSIT
NM,"ELKO, NV",20023,4/17/2009,GREAT BASIN BANK OF NEVADA,238940,220834
NM,"WILMINGTON, NC",118565,4/10/2009,CAPE FEAR BANK,492418,402820
NM,"GREELEY, CO",913432,4/10/2009,NEW FRONTIER BANK,1774588,1496347
N,"ATLANTA, GA",288566,3/27/2009,OMNI NATIONAL BANK,979585,813205
N,"PAOLA, KS",134593,3/20/2009,"TEAMBANK, N.A.",669830,532520
NM,"STOCKBRIDGE, GA",135210,3/20/2009,FIRSTCITY BANK,285015,259056
N,"COLORADO SPRINGS, CO",12687,3/20/2009,COLORADO NATIONAL BANK,123508,85150
NM,"COMMERCE, GA",43267,3/6/2009,FREEDOM BANK OF GEORGIA,172454,159048
NM,"GLENWOOD, IL",48231,2/27/2009,HERITAGE COMMUNITY BANK,235154,225735
NM,"HENDERSON, NV",32328,2/27/2009,SECURITY SAVINGS BANK,238307,174872
NM,"SILVERTON, OR",39465,2/20/2009,SILVER FALLS BANK,134206,115976
NM,"LOUP CITY, NE",42684,2/13/2009,SHERMAN COUNTY BANK,135431,90647
NM,"PITTSFIELD, IL",80894,2/13/2009,CORN BELT BANK AND TRUST COMPANY,260201,233788
SM,"CAPE CORAL, FL",199818,2/13/2009,RIVERSIDE BANK OF THE GULF COAST,523673,422708
NM,"BEAVERTON, OR",10218,2/13/2009,PINNACLE BANK,71921,64168
SM,"MERCED, CA",61783,2/6/2009,COUNTY BANK,1711552,1324635
NM,"CULVER CITY, CA",118079,2/6/2009,ALLIANCE BANK,1113361,951106
NM,"MCDONOUGH, GA",151333,2/6/2009,FIRSTBANK FINANCIAL SERVICES,317237,279308
N,"OCALA, FL",93552,1/30/2009,OCALA NATIONAL BANK,219424,204663
SB,"CROFTON, MD",73819,1/30/2009,SUBURBAN FEDERAL SAVINGS BANK,347408,301847
NM,"SALT LAKE CITY, UT",170125,1/30/2009,MAGNET BANK,300674,282578
NM,"REDLANDS, CA",136041,1/23/2009,1ST CENTENNIAL BANK,797959,678570
N,"CHARLOTTE, NC",,1/16/2009,BANK OF AMERICA N.A.,1471631047,954677580
N,"BERKELEY, IL",80488,1/16/2009,NATIONAL BANK OF COMMERCE,419741,395868
N,"SAN FRANCISCO, CA",,1/16/2009,BANK OF AMERICA CALIFORNIA N.A.,21502223,500
NM,"SALT LAKE CITY, UT",,1/16/2009,MERRILL LYNCH BANK USA,61809503,53620324
SB,"ALEXANDRIA, VA",,1/16/2009,COUNTRYWIDE BANK FSB,117978966,43663251
N,"WILMINGTON, DE",,1/16/2009,FIA CARD SERVICES N.A.,159637136,9816599
SB,"NEW YORK, NY",,1/16/2009,MERRILL LYNCH BANK & TRUST CO FSB,37986413,28539028
NM,"VANCOUVER, WA",150783,1/16/2009,BANK OF CLARK COUNTY,441085,377506
N,"PORTLAND, OR",,1/16/2009,BANK OF AMERICA OREGON N.A.,11526309,500
N,"PROVIDENCE, RI",,1/16/2009,BANK OF AMERICA RHODE ISLAND N.A.,35410586,500
NM,"SANDERSON, TX",7710,12/12/2008,SANDERSON STATE BANK,38217,32012
NM,"DULUTH, GA",246603,12/12/2008,HAVEN TRUST BANK,559551,489692
SM,"JACKSON, GA",86315,12/5/2008,FIRST GEORGIA COMMUNITY BANK,256371,215287
N,"LAS VEGAS, NV",,11/23/2008,"CITIBANK, NATIONAL ASSOCIATION",1207007000,230042000
SB,"WILMINGTON, DE",,11/23/2008,"CITICORP TRUST BANK, FSB",19599414,7231013
NM,"CENTURY CITY, CA",,11/23/2008,CITIBANK (BANAMEX USA),1322720,876086
N,"SIOUX FALLS, SD",,11/23/2008,"CITIBANK (SOUTH DAKOTA), N.A.",77737957,42356986
N,"SIOUX FALLS, SD",,11/23/2008,DEPARTMENT STORES NATIONAL BANK,374903,300881
NM,"LOGANVILLE, GA",335062,11/21/2008,THE COMMUNITY BANK,634901,603733
SB,"POMONA, CA",258807,11/21/2008,PFF BANK & TRUST,3715433,2393845
SL,"NEWPORT BEACH, CA",151232,11/21/2008,"DOWNEY SAVINGS AND LOAN ASSOCIATION, F.A.",12779371,9653169
NM,"SAN DIEGO, CA",148255,11/7/2008,SECURITY PACIFIC BANK,527959,456472
SI,"HOUSTON, TX",614111,11/7/2008,"FRANKLIN BANK, SSB",5089260,3692887
NM,"BRADENTON, FL",113456,10/31/2008,FREEDOM BANK,270842,256793
NM,"ALPHARETTA, GA",211264,10/24/2008,ALPHA BANK & TRUST,354090,344231
NM,"ELDRED, IL",16618,10/10/2008,MERIDIAN BANK,38223,36090
NM,"NORTHVILLE, MI",56318,10/10/2008,MAIN STREET BANK,112368,98934
SB,"HENDERSON, NV",0,9/25/2008,WASHINGTON MUTUAL BANK,307021614,188260793
SB,"NORTHFORK, WV",38290,9/19/2008,"AMERIBANK, INC.",103965,100901
NM,"HENDERSON, NV",722104,9/5/2008,SILVER STATE BANK,1957120,1733091
NM,"ALPHARETTA, GA",465942,8/29/2008,INTEGRITY BANK,1107514,962456
NM,"TOPEKA, KS",334277,8/22/2008,THE COLUMBIAN BANK AND TRUST COMPANY,735071,620354
NM,"BRADENTON, FL",95555,8/1/2008,FIRST PRIORITY BANK,258610,226698
N,"RENO, NV",711000,7/25/2008,FIRST NATIONAL BANK OF NEVADA,3411145,3038053
N,"NEWPORT BEACH, CA",92139,7/25/2008,FIRST HERITAGE BANK N.A.,255376,234812
SL,"PASADENA, CA",12003054,7/11/2008,INDYMAC BANK F.S.B,30698512,18941727
N,"STAPLES, MN",10305,5/30/2008,"FIRST INTEGRITY BANK, N.A.",52916,50178
N,"BENTONVILLE, AR",1025204,5/9/2008,ANB FINANCIAL NATIONAL ASSOCIATION,1895545,1815691
NM,"HUME, MO",3755,3/7/2008,HUME BANK,18682,13566
N,"KANSAS CITY, MO",7157,1/25/2008,DOUGLASS NATIONAL BANK,52824,50250
NM,"LAKEVIEW, OH",28394,10/4/2007,MIAMI VALLEY BANK,125362,119601
SB,"ALPHARETTA, GA",119608,9/28/2007,NETBANK,2473806,2290046
SI,"PITTSBURGH, PA",9438,2/2/2007,METROPOLITAN SAVINGS BANK,15760,14540
SM,"EPHRAIM, UT",2998,6/25/2004,BANK OF EPHRAIM,56774,52329
NM,"WHITE PLAINS, NY",919,3/19/2004,RELIANCE BANK,28637,27881
N,"TALLAHASSEE, FL",0,3/12/2004,GUARANTY NATIONAL BANK,71280,65614
SB,"NEWARK, NJ",0,2/14/2004,DOLLAR SAVINGS BANK,13408,10909
SI,"PHILADELPHIA, PA",679,11/14/2003,PULASKI SAVINGS BANK,8487,9058
N,"BLANCHARDVILLE, WI",12788,5/9/2003,THE FIRST NATIONAL BANK OF BLANCHARDVILLE,34536,28760
NM,"TORRANCE, CA",49179,2/7/2003,SOUTHERN PACIFIC BANK,904294,864160
NM,"CHENEYVILLE, LA",12205,12/17/2002,THE FARMERS BANK & TRUST OF CHENEYVILLE,35317,32103
NM,"ALAMO, TN",9316,11/8/2002,BANK OF ALAMO,58454,52157
SM,"ATLANTA, GA",1326,9/30/2002,AMTRADE INTERNATIONAL BANK OF GEORGIA,92144,73205
SB,"CHICAGO, IL",274,6/27/2002,UNIVERSAL FSB,51628,40340
NM,"STAMFORD, CT",53784,6/26/2002,CONNECTICUT BANK OF COMMERCE,384172,344416
SM,"SHELBY TOWNSHIP, MI",4440,3/28/2002,NEW CENTURY BANK,21091,18902
N,"BOCA RATON, FL",0,3/1/2002,NET FIRST NATIONAL BANK,37207,31601
N,"PHOENIX, AZ",164047,2/7/2002,NEXTBANK,700180,551297
SM,"OAKWOOD, OH",63600,2/1/2002,OAKWOOD DEPOSIT BANK,72267,60168
NM,"SIERRA BLANCA, TX",4574,1/18/2002,BANK OF SIERRA BLANCA,10764,9914
N,"MIAMI, FL",101748,1/11/2002,"HAMILTON BANK, NATIONAL ASSOCIATION",1409496,1298731
N,"GRAVETTE, AR",4206,9/7/2001,SINCLAIR NATIONAL BANK,29792,26054
SB,"HINSDALE, IL",286673,7/27/2001,"SUPERIOR BANK, FSB",1765455,1609501
N,"MALTA, OH",769,5/3/2001,MALTA NATIONAL BANK,9075,8728
NM,"MANCHESTER, NH",817,2/2/2001,FIRST ALLIANCE BANK AND TRUST CO,17438,16931
N,"METROPOLIS, IL",2670,12/14/2000,NATIONAL STATE BANK OF METROPOLIS,90397,71277
NM,"HONOLULU, HI",400,10/13/2000,BANK OF HONOLULU,63890,59037
NM,"FALKNER, MS",14592,9/29/2000,BANK OF FALKNER,85485,77140
NM,"ALMELUND, MN",1363,7/14/2000,TOWN & COUNTRY BANK OF ALMELUND,25942,26667
N,"RIDGECREST, CA",617,6/2/2000,MONUMENT NATIONAL BANK,7923,7680
SB,"ATLANTA, GA",1322,3/10/2000,MUTUAL FEDERAL SAVINGS BANK OF ATLANTA,31479,32234
NM,"CARLISLE, IA",11574,1/14/2000,HARTFORD-CARLISLE SB,105044,68549
