CHARTER,CITYST,COST,FAILDATE,NAME,ASSET,DEPOSIT
SB,"FORT LEE, NJ",11925,4/20/2012,"FORT LEE FEDERAL SAVINGS BANK, FSB",48861,47786
NM,"DEARBORN, MI",97229,3/30/2012,FIDELITY BANK,818237,747640
NM,"WILMETTE, IL",69338,3/23/2012,PREMIER BANK,268703,198953
NM,"ROCK SPRING, GA",30279,3/23/2012,CONVENANT BANK & TRUST,95725,90632
NM,"CHICAGO, IL",13358,3/9/2012,NEW CITY BANK,71202,72399
NM,"DORAVILLE, GA",40289,3/2/2012,GLOBAL COMMERCE BANK,143678,116813
NM,"ELLAVILLE, GA",51763,2/24/2012,CENTRAL BANK OF GEORGIA,278860,266589
SB,"LITTLE FALLS, MN",43037,2/24/2012,HOME SAVINGS OF AMERICA,434111,432223
N,"HOFFMAN ESTATES, IL",18454,2/10/2012,CHARTER NATIONAL BANK AND TRUST,93894,89485
SB,"SHELBYVILLE, IN",38269,2/10/2012,SCB BANK,182561,171365
NM,"JACKSONVILLE, FL",54383,1/27/2012,FIRST GUARANTY BANK AND TRUST COMPANY OF JACKSONVILLE,397082,378309
SM,"KNOXVILLE, TN",74064,1/27/2012,BANKEAST,261947,259571
NM,"FOREST LAKE, MN",35346,1/27/2012,PATRIOT BANK MINNESOTA,105029,102833
NM,"FRANKLIN, TN",351815,1/27/2012,TENNESSEE COMMERCE BANK,1009154,1037716
NM,"STOCKBRIDGE, GA",192145,1/20/2012,THE FIRST STATE BANK,516760,509065
SB,"BOOTHWYN, PA",4671,1/20/2012,AMERICAN EAGLE SAVINGS BANK,19259,17548
NM,"BELLEVIEW, FL",13697,1/20/2012,CENTRAL FLORIDA STATE BANK,71485,71080
N,"PHOENIX, AZ",41735,12/16/2011,WESTERN NATIONAL BANK,162872,144491
NM,"CRESTVIEW, FL",25065,12/16/2011,PREMIER COMMUNITY BANK OF THE EMERALD COAST,125976,112050
NM,"JOHNSTON, IA",16053,11/18/2011,POLK COUNTY BANK,91580,81967
NM,"LACOMBE, LA",48824,11/18/2011,CENTRAL PROGRESSIVE BANK,383132,347720
NM,"ROCKMART, GA",20301,11/10/2011,COMMUNITY BANK OF ROCKMART,62383,55906
NM,"OMAHA, NE",10944,11/4/2011,"MID CITY BANK, INC.",106075,105461
NM,"SAINT GEORGE, UT",43575,11/4/2011,SUNFIRST BANK,198081,169135
NM,"DES PLAINES, IL",13753,10/28/2011,ALL AMERICAN BANK,34800,30542
SM,"GREENWOOD VILLAGE, CO",169247,10/21/2011,COMMUNITY BANKS OF COLORADO,1280964,1239630
NM,"DECATUR, GA",24568,10/21/2011,DECATUR FIRST BANK,184750,172042
NM,"JONESBORO, GA",64965,10/21/2011,COMMUNITY CAPITAL BANK,165291,157808
NM,"CLEARWATER, FL",26299,10/21/2011,OLD HARBOR BANK,209048,212184
SI,"ASHEVILLE, NC",44112,10/14/2011,"BLUE RIDGE SAVINGS BANK, INC.",161430,159628
NM,"ALEDO, IL",69305,10/14/2011,COUNTRY BANK,195034,180835
NM,"GRAY, GA",88194,10/14/2011,PIEDMONT COMMUNITY BANK,198993,178773
NM,"CRANFORD, NJ",45629,10/14/2011,FIRST STATE BANK,191852,188099
NM,"WYOMING, MN",71176,10/7/2011,THE RIVERBANK,419723,384120
NM,"ELLINGTON, MO",93109,10/7/2011,SUN SECURITY BANK,351492,280649
NM,"PLANO, TX",58022,9/30/2011,FIRST INTERNATIONAL BANK,239916,208775
SM,"NORFOLK, VA",238719,9/23/2011,BANK OF THE COMMONWEALTH,985096,901845
NM,"NEVADA CITY, CA",40895,9/23/2011,CITIZENS BANK OF NORTHERN CALIFORNIA,288765,253079
N,"MILTON, FL",75749,9/9/2011,THE FIRST NATIONAL BANK OF FLORIDA,296841,280095
NM,"WOODSTOCK, GA",33845,9/2/2011,CREEKSIDE BANK,102338,96583
NM,"CUMMING, GA",54248,9/2/2011,PATRIOT BANK OF GEORGIA,150751,140612
SB,"PALM BEACH, FL",187814,8/19/2011,LYDIAN PRIVATE BANK,1700117,1253835
NM,"GENEVA, IL",34064,8/19/2011,FIRST CHOICE BANK,141016,137215
N,"STATESBORO, GA",22171,8/19/2011,FIRST SOUTHERN NATIONAL BANK,164599,159673
SI,"HUNTINGDON VALLEY, PA",15828,8/18/2011,PUBLIC SAVINGS BANK,46818,45770
N,"OLATHE, KS",103328,8/12/2011,THE FIRST NATIONAL BANK OF OLATHE,538091,524290
SM,"COLFAX, WA",100914,8/5/2011,BANK OF WHITMAN,548570,515732
NM,"SHOREWOOD, IL",29378,8/5/2011,BANK OF SHOREWOOD,110723,104021
N,"EVANSVILLE, IN",30575,7/29/2011,INTEGRA BANK NATIONAL ASSOCIATION,1994430,1693592
N,"COLUMBIA, SC",49181,7/29/2011,"BANKMERIDIAN, N.A.",232648,209737
SM,"RICHMOND, VA",19851,7/29/2011,VIRGINIA BUSINESS BANK,83493,72955
NM,"GREELEY, CO",135593,7/22/2011,BANK OF CHOICE,954106,818670
SM,"SARASOTA, FL",37389,7/22/2011,LANDMARK BANK OF FLORIDA,266482,244362
NM,"APOLLO BEACH, FL",11403,7/22/2011,SOUTHSHORE COMMUNITY BANK,41252,41434
NM,"STOCKBRIDGE, GA",70772,7/15/2011,HIGH TRUST BANK,180340,177221
NM,"PORT SAINT LUCIE, FL",13110,7/15/2011,FIRST PEOPLES BANK,225035,207621
NM,"PRESCOTT, AZ",14868,7/15/2011,SUMMIT BANK,73066,67471
NM,"ATLANTA, GA",40555,7/15/2011,ONE GEORGIA BANK,177715,158123
SM,"CHICAGO, IL",192899,7/8/2011,FIRST CHICAGO BANK & TRUST,896864,830530
NM,"CASTLE ROCK, CO",254944,7/8/2011,COLORADO CAPITAL BANK,665806,635202
NM,"WINDSOR, CO",23311,7/8/2011,SIGNATURE  BANK,62518,60349
NM,"CLAYTON, GA",34480,6/24/2011,MOUNTAIN HERITAGE BANK,103716,89554
NM,"JACKSON, GA",75418,6/17/2011,MCINTOSH STATE BANK,339929,324403
NM,"TAMPA, FL",33477,6/17/2011,FIRST COMMERCIAL BANK OF TAMPA BAY,98624,92641
SB,"CHARLESTON, SC",31204,6/3/2011,ATLANTIC BANK AND TRUST,208204,191614
NM,"SNOHOMISH, WA",33596,5/27/2011,FIRST HERITAGE BANK,173478,163303
NM,"BURLINGTON, WA",24195,5/20/2011,SUMMIT BANK,142729,131631
NM,"MACON, GA",280971,5/20/2011,ATLANTIC SOUTHERN BANK,741855,707643
NM,"FRANKLIN, GA",134595,5/20/2011,FIRST GEORGIA BANKING COMPANY,730981,702231
SB,"COCOA BEACH, FL",18527,5/6/2011,COASTAL BANK,129429,123950
SM,"VALDOSTA, GA",212045,4/29/2011,THE PARK AVENUE BANK,849409,724483
N,"WINTER PARK, FL",42899,4/29/2011,FIRST NATIONAL BANK OF CENTRAL FLORIDA,342079,308784
NM,"MOUNT CLEMENS, MI",98636,4/29/2011,COMMUNITY CENTRAL BANK,451683,371494
NM,"BROOKSVILLE, FL",17194,4/29/2011,CORTEZ COMMUNITY  BANK,66282,65439
NM,"DALLAS, GA",105180,4/29/2011,FIRST CHOICE COMMUNITY BANK,291196,294769
NM,"CARTHAGE, MS",37841,4/15/2011,HERITAGE BANKING GROUP,228328,205035
SB,"BIRMINGHAM, AL",285638,4/15/2011,SUPERIOR BANK,2977290,2736201
NM,"BIRMINGHAM, AL",182002,4/15/2011,NEXITY BANK,757574,611681
NM,"CARTERSVILLE, GA",83037,4/15/2011,BARTOW COUNTY BANK,314019,290005
N,"ROSEMOUNT, MN",5398,4/15/2011,ROSEMOUNT NATIONAL BANK,21454,20980
NM,"EAST ELLIJAY, GA",34708,4/15/2011,NEW HORIZONS BANK,103055,99022
N,"WESTERN SPRINGS, IL",38047,4/8/2011,WESTERN SPRINGS NATIONAL BANK AND TRUST,186677,182441
NM,"LAS VEGAS, NV",38492,4/8/2011,NEVADA COMMERCE BANK,135064,128573
NM,"WOOD DALE, IL",44142,3/25/2011,THE BANK OF COMMERCE,163074,161379
N,"DAVIS, OK",29846,3/11/2011,THE FIRST NATIONAL BANK OF DAVIS,90183,68331
SM,"MILWAUKEE, WI",73718,3/11/2011,LEGACY BANK,190418,183309
NM,"ST. CHARLES, IL",28270,2/25/2011,VALLEY COMMUNITY BANK,123774,124179
NM,"CLARKESVILLE, GA",119370,2/18/2011,HABERSHAM BANK,387681,339934
NM,"SPRINGFIELD, GA",48229,2/18/2011,CITIZENS BANK OF EFFINGHAM,214275,206490
SB,"SAN LUIS OBISPO, CA",72906,2/18/2011,"SAN LUIS TRUST BANK, FSB",332596,272216
NM,"NAPA, CA",20076,2/18/2011,CHARTER OAK BANK,120833,105309
NM,"CASSVILLE, WI",19454,2/11/2011,BADGER STATE BANK,83828,78549
NM,"HAMTRAMCK, MI",103057,2/11/2011,PEOPLES STATE BANK,390524,389868
N,"PALM SPRINGS, CA",15617,2/11/2011,CANYON NATIONAL BANK,210859,205285
NM,"PORT ORANGE, FL",32294,2/11/2011,SUNSHINE STATE COMMUNITY BANK,125531,116715
NM,"WATKINSVILLE, GA",48161,2/4/2011,NORTH GEORGIA BANK,153172,139672
NM,"ROSWELL, GA",69323,2/4/2011,AMERICAN TRUST BANK,238205,222161
SM,"CHICAGO, IL",10213,2/4/2011,COMMUNITY FIRST BANK - CHICAGO,51083,49504
NM,"CAMARGO, OK",33590,1/28/2011,THE FIRST STATE BANK,44546,41204
NM,"STOUGHTON, WI",28060,1/28/2011,EVERGREEN STATE BANK,240949,193694
SM,"TAOS, NM",230712,1/28/2011,FIRST COMMUNITY BANK,2188154,1847851
NM,"LOUISVILLE, CO",233564,1/28/2011,FIRSTIER BANK,764090,718797
NM,"MCDONOUGH, GA",43538,1/21/2011,ENTERPRISE BANKING COMPANY,99461,94591
SL,"DENVER, CO",137544,1/21/2011,UNITED WESTERN BANK,2153690,1535194
NM,"ASHEVILLE, NC",43945,1/21/2011,THE BANK OF ASHEVILLE,204925,199394
NM,"EASLEY, SC",45189,1/21/2011,COMMUNITYSOUTH BANK AND TRUST,340986,314250
NM,"BRUNSWICK, GA",84066,1/14/2011,OGLETHORPE BANK,211149,201369
SM,"ORLANDO, FL",88904,1/7/2011,FIRST COMMERCIAL BANK OF FLORIDA,578638,537223
NM,"SCOTTSDALE, AZ",32224,1/7/2011,LEGACY BANK,136446,119685
N,"CORAL GABLES, FL",29054,12/17/2010,THE BANK OF MIAMI,448150,374218
N,"LINO LAKES, MN",5827,12/17/2010,COMMUNITY NATIONAL BANK,31569,28844
NM,"DAWSONVILLE, GA",83075,12/17/2010,CHESTATEE STATE BANK,244376,240476
N,"ATLANTA, GA",96415,12/17/2010,UNITED AMERICAS BANK,242339,193803
NM,"BATESVILLE, AR",24771,12/17/2010,FIRST SOUTHERN BANK,191764,155803
SB,"MCCAYSVILLE, GA",28452,12/17/2010,"APPALACIAN COMMUNITY BANK, F.S.B.",68201,76360
SM,"FARMINGTON HILLS, MI",68586,12/10/2010,PARAMOUNT BANK,252744,213550
NM,"SOUTHAMPTON, PA",22495,12/10/2010,EARTHSTAR BANK,112643,104505
SM,"BURLINGTON, WI",86457,11/19/2010,FIRST BANKING CENTER,750724,664752
NM,"CARRABELLE, FL",44443,11/19/2010,GULF STATE COMMUNITY BANK,112144,112193
NM,"BALA CYNWYD, PA",12652,11/19/2010,ALLEGIANCE BANK OF NORTH AMERICA,106595,91996
NM,"VIDALIA, GA",125908,11/12/2010,DARBY BANK & TRUST COMPANY,654714,587626
NM,"SCOTTSDALE, AZ",52561,11/12/2010,COPPER STAR BANK,203955,190182
NM,"TIFTON, GA",21383,11/12/2010,TIFTON BANKING COMPANY,143729,141573
NM,"RANDALLSTOWN, MD",136420,11/5/2010,K BANK,538258,500056
SM,"TACOMA, WA",26754,11/5/2010,PIERCE COMMERCIAL BANK,221082,193473
NM,"WESTMINSTER, CA",14264,11/5/2010,FIRST VIETNAMESE AMERICAN BANK,48000,47012
NM,"WOODLAND HILLS, CA",16943,11/5/2010,WESTERN COMMERCIAL BANK,98635,101127
N,"BARNESVILLE, GA",46897,10/22/2010,THE FIRST NATIONAL BANK OF BARNESVILLE,126622,122880
N,"MAYWOOD, IL",44303,10/22/2010,FIRST SUBURBAN NATIONAL BANK,143451,135475
NM,"OVERLAND PARK, KS",275262,10/22/2010,HILLCREST BANK,1583611,1488785
NM,"JACKSONVILLE, FL",14277,10/22/2010,FIRST BANK OF JACKSONVILLE,73922,72198
SM,"TAMPA, FL",34562,10/22/2010,PROGRESS BANK OF FLORIDA,94823,86861
SB,"SCOTTSDALE, AZ",26776,10/22/2010,"FIRST ARIZONA SAVINGS, A FSB",255920,190615
NM,"GORDON, GA",10354,10/22/2010,THE GORDON BANK,29259,26867
SB,"OLATHE, KS",53100,10/15/2010,"SECURITY SAVINGS BANK, F.S.B.",453349,347080
NM,"JEFFERSON CITY, MO",308803,10/15/2010,PREMIER BANK,989382,869367
NM,"CHESTERFIELD, MO",22436,10/15/2010,WESTBRIDGE BANK AND TRUST COMPANY,87782,70131
NM,"CRAWFORDVILLE, FL",119933,10/1/2010,WAKULLA BANK,402205,367228
NM,"SHORELINE, WA",23478,10/1/2010,SHORELINE BANK,92980,90644
NM,"ARLINGTON, WA",70800,9/24/2010,NORTH COUNTY BANK,288776,276081
NM,"PONTE VEDRA BEACH, FL",34827,9/24/2010,HAVEN TRUST BANK FLORIDA,148575,133561
NM,"WINDER, GA",101852,9/17/2010,THE PEOPLES BANK,447185,398181
SI,"MILFORD, OH",17928,9/17/2010,BRAMBLE SAVINGS BANK,47523,41551
SL,"WEST ALLIS, WI",88384,9/17/2010,MARITIME SAVINGS BANK,350488,248134
NM,"CHERRY HILL, NJ",18856,9/17/2010,ISN BANK,81564,79652
NM,"DOUGLASVILLE, GA",101039,9/17/2010,FIRST COMMERCE COMMUNITY BANK,248151,242831
NM,"ELLIJAY, GA",79709,9/17/2010,THE BANK OF ELLIJAY,168820,160718
SM,"BRADENTON, FL",61295,9/10/2010,HORIZON BANK,187819,164594
NM,"CHICAGO, IL",525962,8/20/2010,SHOREBANK,2166431,1547403
N,"BARTOW, FL",9170,8/20/2010,COMMUNITY NATIONAL BANK AT BARTOW,67918,63708
SM,"STOCKTON, CA",34038,8/20/2010,PACIFIC STATE BANK,312077,278832
NM,"SONOMA, CA",10285,8/20/2010,SONOMA VALLEY BANK,337113,255501
N,"OCALA, FL",11982,8/20/2010,INDEPENDENT NATIONAL BANK,156218,141877
SL,"MARTINSVILLE, VA",4746,8/20/2010,IMPERIAL SAVINGS AND LOAN ASSOCIATION,9448,10090
SB,"SOLVANG, CA",3434,8/20/2010,LOS PADRES BANK,866459,770899
NM,"CHICO, CA",1663,8/20/2010,BUTTE COMMUNITY BANK,498751,471256
NM,"PALOS HEIGHTS, IL",66962,8/13/2010,PALOS BANK AND TRUST COMPANY,493391,467784
NM,"CHICAGO, IL",68113,8/6/2010,RAVENSWOOD BANK,264628,269448
NM,"PANAMA CITY BEACH, FL",116866,7/30/2010,COASTAL COMMUNITY BANK,377469,370016
NM,"LONGVIEW, WA",31478,7/30/2010,THE COWLITZ BANK,489019,474742
NM,"EUGENE, OR",51253,7/30/2010,LIBERTYBANK,714574,692670
NM,"ACWORTH, GA",33627,7/30/2010,NORTHWEST BANK & TRUST,160763,155531
SB,"PORT SAINT JOE, FL",12479,7/30/2010,BAYSIDE SAVINGS BANK,64344,52720
SM,"SYLVAN GROVE, KS",6651,7/23/2010,THUNDER BANK,28248,27048
N,"KINGSTREE, SC",2425,7/23/2010,WILLIAMSBURG FIRST NATIONAL BANK,130411,126993
SM,"CAVE JUNCTION, OR",28068,7/23/2010,HOME VALLEY BANK,250488,227935
NM,"JASPER, GA",303803,7/23/2010,CRESCENT BANK AND TRUST COMPANY,970235,932809
SM,"LANTANA, FL",41792,7/23/2010,STERLING BANK,354966,329541
NM,"NEW PRAGUE, MN",18495,7/23/2010,COMMUNITY SECURITY BANK,100649,95100
NM,"LAS VEGAS, NV",86297,7/23/2010,SOUTHWESTUSA BANK,203690,183985
SM,"MIAMI, FL",64179,7/16/2010,METRO BANK OF DADE COUNTY,399441,375522
SB,"HASTINGS, MI",12789,7/16/2010,"MAINSTREET SAVINGS BANK, FSB",96584,63291
SB,"CLEWISTON, FL",25533,7/16/2010,OLDE CYPRESS COMMUNITY BANK,161355,157997
SB,"AVENTURA, FL",28658,7/16/2010,TURNBERRY BANK,240251,179169
SB,"BLUFFTON, SC",107349,7/16/2010,WOODLANDS BANK,382803,364808
N,"SPARTANBURG, SC",68274,7/16/2010,FIRST NATIONAL BANK OF THE SOUTH,619374,550891
N,"BLACKWELL, OK",65822,7/9/2010,HOME NATIONAL BANK,585445,514038
SB,"BALTIMORE, MD",3694,7/9/2010,IDEAL FEDERAL SAVINGS BANK,6177,5803
N,"BALTIMORE, MD",21144,7/9/2010,BAY NATIONAL BANK,217743,212612
NM,"PORT CHESTER, NY",63537,7/9/2010,USA BANK,190678,188644
NM,"ENGLEWOOD, FL",184045,6/25/2010,PENINSULA BANK,630179,580140
N,"SAVANNAH, GA",78167,6/25/2010,FIRST NATIONAL BANK,252520,231857
NM,"ALBUQUERQUE, NM",28392,6/25/2010,HIGH DESERT STATE BANK,80343,80985
NM,"RENO, NV",70039,6/18/2010,NEVADA SECURITY BANK,492491,479759
NM,"SEATTLE, WA",95151,6/11/2010,WASHINGTON FIRST INTERNATIONAL BANK,520887,441362
N,"ROSEDALE, MS",18085,6/4/2010,FIRST NATIONAL BANK,60449,63483
SB,"LINCOLN, NE",0,6/4/2010,TIERONE BANK,2824737,2185817
SI,"ARCOLA, IL",11534,6/4/2010,ARCOLA HOMESTEAD SAVINGS BANK,17028,18092
NM,"LAS VEGAS, NV",115960,5/28/2010,SUN WEST BANK,360662,353943
NM,"NAPLES, FL",87638,5/28/2010,BANK OF FLORIDA - SOUTHWEST,640894,559897
N,"GRANITE BAY, CA",13175,5/28/2010,"GRANITE COMMUNITY BANK, NATIONAL ASSOCIATION",102913,94252
NM,"FORT LAUDERDALE, FL",60470,5/28/2010,BANK OF FLORIDA - SOUTHEAST,595318,531752
NM,"TAMPA BAY, FL",30582,5/28/2010,BANK OF FLORIDA - TAMPA BAY,240513,224024
NM,"ST. PAUL, MN",8410,5/21/2010,PINEHURST BANK,61215,58288
SM,"ELMWOOD PARK, IL",0,5/14/2010,MIDWEST BANK AND TRUST COMPANY,3172915,2420738
NM,"SPRINGFIELD, MO",25580,5/14/2010,SOUTHWEST COMMUNITY BANK,100659,102463
NM,"SAINT MARYS, GA",36321,5/14/2010,SATILLA COMMUNITY BANK,135688,134005
NM,"PLYMOUTH, MI",23558,5/14/2010,NEW LIBERTY BANK,111239,101884
NM,"BONIFAY, FL",65887,5/7/2010,THE BANK OF BONIFAY,242871,230190
NM,"CHAMPLIN, MN",7916,5/7/2010,ACCESS BANK,31996,31969
SM,"SAN DIEGO, CA",6342,5/7/2010,1st PACIFIC BANK OF CALIFORNIA,335798,291173
NM,"MESA, AZ",44322,5/7/2010,TOWNE BANK OF ARIZONA,120246,113243
N,"BUTLER, MO",8620,4/30/2010,BC NATIONAL BANKS,52204,43635
NM,"EVERETT, WA",453920,4/30/2010,FRONTIER BANK,3250734,2846886
NM,"SAN JUAN, PR",539124,4/30/2010,EUROBANK,2453138,1861350
SI,"PORT HURON, MI",340615,4/30/2010,CF BANCORP,1599122,1418445
NM,"MAYAGUEZ, PR",2178148,4/30/2010,WESTERNBANK PUERTO RICO,10797345,8420357
NM,"HATO REY, PR",984153,4/30/2010,R-G PREMIER BANK OF PUERTO RICO,5681177,4220108
NM,"CREVE COEUR, MO",57091,4/30/2010,CHAMPION BANK,195510,162816
N,"ROCKFORD, IL",15808,4/23/2010,"AMCORE BANK, NATIONAL ASSOCIATION",3066240,2743485
NM,"PEOTONE, IL",45596,4/23/2010,PEOTONE BANK AND TRUST COMPANY,130165,124676
NM,"CHICAGO, IL",377438,4/23/2010,BROADWAY BANK,1059194,1023421
SI,"CHICAGO, IL",38088,4/23/2010,LINCOLN PARK SAVINGS BANK,194618,162627
NM,"CHICAGO, IL",41327,4/23/2010,CITIZENS BANK & TRUST COMPANY OF CHICAGO,73490,72772
NM,"CHICAGO, IL",132056,4/23/2010,NEW CENTURY BANK,447239,438999
NM,"NAPERVILLE, IL",189658,4/23/2010,WHEATLAND BANK,441694,448917
NM,"LYNNWOOD, WA",154993,4/16/2010,CITY BANK,981913,919606
NM,"OAKLAND, CA",22715,4/16/2010,INNOVATIVE BANK,266816,223164
N,"FORT PIERCE, FL",0,4/16/2010,RIVERSIDE NATIONAL BANK OF FLORIDA,3393818,2724475
SI,"LOWELL, MA",18261,4/16/2010,BUTLER BANK,245534,227420
SB,"PALATKA, FL",11969,4/16/2010,FIRST FEDERAL BANK OF NORTH FLORIDA,440122,369617
NM,"SAN RAFAEL, CA",0,4/16/2010,TAMALPAIS BANK,611504,457206
NM,"STERLING HEIGHTS, MI",20977,4/16/2010,LAKESIDE COMMUNITY BANK,49173,48622
NM,"CLERMONT, FL",16404,4/16/2010,AMERICANFIRST BANK,104034,100070
N,"MYRTLE BEACH, SC",164585,4/9/2010,BEACH FIRST NATIONAL BANK,590024,521138
N,"CARTERSVILLE, GA",73589,3/26/2010,UNITY NATIONAL BANK,300590,264286
SB,"KEY WEST, FL",16210,3/26/2010,KEY WEST BANK,88031,67662
NM,"PHOENIX, AZ",108862,3/26/2010,DESERT HILLS BANK,496552,426473
NM,"CARROLLTON, GA",164026,3/26/2010,MCINTOSH COMMERCIAL BANK,363405,343339
NM,"AURORA, MN",7026,3/19/2010,STATE BANK OF AURORA,28159,27801
NM,"HIAWASSEE, GA",107263,3/19/2010,BANK OF HIAWASSEE,377779,339597
N,"PARMA, OH",14960,3/19/2010,AMERICAN NATIONAL BANK,70318,66752
NM,"FORT DEPOSIT, AL",11725,3/19/2010,FIRST LOWNDES BANK,137175,131117
NM,"DRAPER, UT",521525,3/19/2010,ADVANTA BANK CORP.,1525931,1519471
NM,"ELLIJAY, GA",456455,3/19/2010,APPALACHIAN COMMUNITY BANK,1010075,917575
NM,"DULUTH, GA",37707,3/19/2010,CENTURY SECURITY BANK,96535,93967
NM,"NEW YORK, NY",76368,3/12/2010,THE PARK AVENUE BANK,520146,494505
NM,"COVINGTON, LA",26124,3/12/2010,STATEWIDE BANK,243215,207821
SM,"ORLANDO, FL",76501,3/12/2010,OLD SOUTHERN BANK,336390,319746
NM,"NEW YORK, NY",18407,3/11/2010,LIBERTYPOINTE BANK,216500,209477
SM,"NORMAL, IL",18737,3/5/2010,BANK OF ILLINOIS,211711,198487
SM,"BOCA RATON, FL",122301,3/5/2010,SUN AMERICAN BANK,535724,443481
NM,"OGDEN, UT",70617,3/5/2010,CENTENNIAL BANK,212839,205076
SB,"GERMANTOWN, MD",11322,3/5/2010,WATERFIELD BANK,155566,156188
SI,"TACOMA, WA",2752,2/26/2010,RAINIER PACIFIC BANK,717806,446192
NM,"CARSON CITY, NV",14451,2/26/2010,CARSON RIVER COMMUNITY BANK,51095,50024
N,"LA COSTE, TX",5709,2/19/2010,THE LA COSTE NATIONAL BANK,53936,49275
SI,"ORLAND PARK, IL",118852,2/19/2010,GEORGE WASHINGTON SAVINGS BANK,413673,395310
SB,"LA JOLLA, CA",560147,2/19/2010,"LA JOLLA BANK, FSB",3646071,2799362
SM,"MARCO ISLAND, FL",25614,2/19/2010,MARCO COMMUNITY BANK,119578,117097
NM,"HANCOCK, MN",4521,2/5/2010,1ST AMERICAN STATE BANK OF MINNESOTA,18155,16327
NM,"IMMOKALEE, FL",308984,1/29/2010,FLORIDA COMMUNITY BANK,835701,776556
NM,"CORNELIA, GA",477153,1/29/2010,COMMUNITY BANK & TRUST,1181717,1067957
N,"HALLOCK, MN",1063,1/29/2010,"MARSHALL BANK, NATIONAL ASSOCIATION",58566,55662
N,"CARROLLTON, GA",203881,1/29/2010,FIRST NATIONAL BANK OF GEORGIA,840633,780196
NM,"BAINBRIDGE ISLAND, WA",28352,1/29/2010,AMERICAN MARINE BANK,329246,287443
NM,"LOS ANGELES, CA",224134,1/29/2010,FIRST REGIONAL BANK,2082684,1664450
NM,"LEETON, MO",7092,1/22/2010,BANK OF LEETON,20128,20335
NM,"SEATTLE, WA",43422,1/22/2010,EVERGREEN BANK,395980,340378
NM,"THE DALLES, OR",54899,1/22/2010,COLUMBIA RIVER BANK,955112,908132
SB,"SANTA FE, NM",127197,1/22/2010,CHARTER BANK,1201922,859933
NM,"MIAMI, FL",84454,1/22/2010,PREMIER AMERICAN BANK,299225,285554
SM,"KAYSVILLE, UT",107233,1/15/2010,BARNES BANKING COMPANY,709171,697109
NM,"ST. STEPHEN, MN",7707,1/15/2010,ST. STEPHEN STATE BANK,22895,23912
NM,"ANTIOCH, IL",23289,1/15/2010,TOWN COMMUNITY BANK AND TRUST,70758,68323
NM,"BELLINGHAM, WA",205488,1/8/2010,HORIZON BANK,1188956,1049063
NM,"NEW BALTIMORE, MI",68417,12/18/2009,CITIZENS STATE BANK,168551,157149
NM,"LA JOLLA, CA",271351,12/18/2009,IMPERIAL CAPITAL BANK,4046888,2822300
SM,"SPRINGFIELD, IL",0,12/18/2009,INDEPENDENT BANKERS' BANK,585508,511473
SB,"SANTA MONICA, CA",0,12/18/2009,"FIRST FEDERAL BANK OF CALIFORNIA,  A FEDERAL SAVINGS BANK",6143903,4538607
SB,"PANAMA CITY, FL",597058,12/18/2009,PEOPLES FIRST COMMUNITY BANK,1795420,1684443
SB,"IRONDALE, AL",311641,12/18/2009,NEW SOUTH FEDERAL SAVINGS BANK,1464127,1163916
NM,"ATLANTA, GA",98936,12/18/2009,ROCKBRIDGE COMMERCIAL BANK,294024,291707
SM,"OVERLAND PARK, KS",93393,12/11/2009,SOLUTIONSBANK,511103,421271
N,"MIAMI, FL",77977,12/11/2009,"REPUBLIC FEDERAL BANK, N.A.",433011,352695
N,"MESA, AZ",15047,12/11/2009,"VALLEY CAPITAL BANK, N.A.",40270,41312
NM,"AURORA, IL",79321,12/4/2009,BENCHMARK BANK,173062,182760
NM,"REIDSVILLE, GA",14705,12/4/2009,THE TATNALL BANK,49612,47100
N,"NORCROSS, GA",34282,12/4/2009,FIRST SECURITY NATIONAL BANK,127455,121645
SB,"CLEVELAND, OH",1697799,12/4/2009,AMTRUST BANK,11438990,8558609
SB,"RESTON, VA",26610,12/4/2009,GREATER ATLANTIC BANK,203262,179248
NM,"ATLANTA, GA",310552,12/4/2009,THE BUCKHEAD COMMUNITY BANK,856236,813668
NM,"FORT MYERS, FL",32236,11/20/2009,COMMERCE BANK OF SOUTHWEST FLORIDA,70997,72821
SM,"NAPLES, FL",713129,11/13/2009,ORION BANK,2612515,2169446
SB,"SARASOTA, FL",306877,11/13/2009,"CENTURY BANK, A FEDERAL SAVINGS BANK",755923,659742
N,"SAN CLEMENTE, CA",33470,11/13/2009,PACIFIC COAST NATIONAL BANK,131418,128867
NM,"ST LOUIS, MO",11648,11/6/2009,GATEWAY BANK OF ST LOUIS,26882,27534
NM,"SPARTA, GA",60895,11/6/2009,UNITED SECURITY BANK,153639,149616
SB,"DETROIT, MI",8612,11/6/2009,HOME FEDERAL SAVINGS BANK,12994,12730
NM,"SAN FRANCISCO, CA",582128,11/6/2009,UNITED COMMERCIAL BANK,10895336,7653666
NM,"OAKDALE, MN",31685,11/6/2009,PROSPERAN BANK,197442,182794
N,"CHICAGO, IL",7471,10/30/2009,PARK NATIONAL BANK,4680881,3716626
NM,"HOUSTON, TX",12000,10/30/2009,NORTH HOUSTON BANK,325474,307166
N,"SAN DIEGO, CA",40579,10/30/2009,SAN DIEGO NATIONAL BANK,3594544,2891576
N,"TEAGUE, TX",5846,10/30/2009,CITIZENS NATIONAL BANK,118236,97590
